District,Municipality,Administrative Unit,PS,PD,Other Parties,Invalid Ballots,Eligible Voters,Total Eligible Votes,Total Votes,Turnout
Kukes,Kukes,Kolsh Kukes,154,365,15,32,1060,534,566,0.5339622641509434
Kukes,Kukes,Kukes,3413,5777,235,533,18360,9425,9958,0.5423747276688453
Kukes,Kukes,Malzi,369,643,16,52,2584,1028,1080,0.4179566563467492
Kukes,Kukes,Shishtavec,818,629,10,51,3828,1457,1508,0.3939393939393939
Kukes,Kukes,Shtiqen,467,870,28,63,2752,1365,1428,0.5188953488372093
Kukes,Kukes,Surroj,173,375,23,37,1196,571,608,0.5083612040133779
Kukes,Kukes,Terthore,379,812,16,50,2391,1207,1257,0.5257214554579673
Kukes,Kukes,Topojan,209,414,13,38,1607,636,674,0.4194150591163659
Kukes,Kukes,Ujmisht,276,466,25,31,1593,767,798,0.5009416195856874
Kukes,Kukes,Zapod,367,328,19,34,1880,714,748,0.39787234042553193
Kukes,Tropoje,Bajram Curri,1008,1873,59,181,6570,2940,3121,0.4750380517503805
Kukes,Tropoje,Bujan,269,674,17,60,2192,960,1020,0.4653284671532847
Kukes,Tropoje,Bytyc,177,469,10,47,1609,656,703,0.43691733996270976
Kukes,Tropoje,Fierze (KU),305,553,13,58,1840,871,929,0.5048913043478261
Kukes,Tropoje,Lekbibaj,171,297,11,39,1284,479,518,0.40342679127725856
Kukes,Tropoje,Llugaj,306,447,8,69,1709,761,830,0.48566413107080164
Kukes,Tropoje,Margegaj,334,716,16,67,2468,1066,1133,0.4590761750405186
Kukes,Tropoje,Tropoje,524,1414,37,97,4346,1975,2072,0.4767602393005062
Lezhe,Kurbin,Fushe Kuqe,699,1566,359,214,7051,2624,2838,0.40249609984399376
Lezhe,Kurbin,Lac,3486,4596,1303,756,23532,9385,10141,0.43094509603943565
Lezhe,Kurbin,Mamurras,2104,4165,1315,557,17870,7584,8141,0.4555679910464466
Lezhe,Kurbin,Milot,1103,2547,680,308,9166,4330,4638,0.5060004363953742
Lezhe,Lezhe,Balldre,1357,1411,444,240,8515,3212,3452,0.40540223135642983
Lezhe,Lezhe,Lezhe,4549,4074,1547,637,24906,10170,10807,0.43391150726732514
Lezhe,Lezhe,Shengjin,1987,1867,483,255,10468,4337,4592,0.43867023309132597
Lezhe,Lezhe,Blinisht,898,633,136,107,4465,1667,1774,0.3973124300111982
Lezhe,Lezhe,Dajc (LE),888,1042,172,160,5853,2102,2262,0.38646847770374165
Lezhe,Lezhe,Kallmet,758,773,500,146,5671,2031,2177,0.3838829130664786
Lezhe,Lezhe,Kolsh,1031,1137,282,222,5798,2450,2672,0.4608485684718869
Lezhe,Lezhe,Shenkoll,1980,2532,704,415,13167,5216,5631,0.42766005923900663
Lezhe,Lezhe,Ungrej,379,408,78,67,2063,865,932,0.4517692680562288
Lezhe,Lezhe,Zejmen,1172,1347,692,260,7406,3211,3471,0.46867404806913315
Lezhe,Mirdite,Fan,682,763,125,96,3193,1570,1666,0.5217663639210773
Lezhe,Mirdite,Kacinar,224,295,40,25,1331,559,584,0.4387678437265214
Lezhe,Mirdite,Kthelle,379,501,182,55,2400,1062,1117,0.46541666666666665
Lezhe,Mirdite,Orosh,428,487,128,62,2355,1043,1105,0.4692144373673036
Lezhe,Mirdite,Rreshen,1956,2409,850,223,11190,5215,5438,0.48596961572832886
Lezhe,Mirdite,Rubik,1007,1145,355,112,6231,2507,2619,0.4203177660086663
Lezhe,Mirdite,Selite,202,298,62,29,1268,562,591,0.46608832807570977
Shkoder,Fushe Arrez,Blerim,143,187,86,27,1010,416,443,0.4386138613861386
Shkoder,Fushe Arrez,Fierze (ShK),196,164,258,32,1423,618,650,0.4567814476458187
Shkoder,Fushe Arrez,Fushe Arrez,583,705,380,101,3534,1668,1769,0.5005659309564233
Shkoder,Fushe Arrez,Iballe,248,282,79,42,1266,609,651,0.514218009478673
Shkoder,Fushe Arrez,Qafe-Mali,209,294,178,56,1453,681,737,0.5072264280798349
Shkoder,Malesi e Madhe,Gruemire,1744,1594,985,362,11706,4323,4685,0.4002221083205194
Shkoder,Malesi e Madhe,Kastrat,1405,1665,336,249,10185,3406,3655,0.3588610702012764
Shkoder,Malesi e Madhe,Kelmend,565,674,179,127,5149,1418,1545,0.3000582637405321
Shkoder,Malesi e Madhe,Koplik,1118,1128,390,200,7493,2636,2836,0.37848658748164954
Shkoder,Malesi e Madhe,Qender-Malesi e Madhe,869,1247,307,236,5685,2423,2659,0.4677220756376429
Shkoder,Malesi e Madhe,Shkrel,820,782,238,172,5049,1840,2012,0.3984947514359279
Shkoder,Puke,Gjegjan,800,479,196,106,2826,1475,1581,0.559447983014862
Shkoder,Puke,Puke,900,868,381,100,4055,2149,2249,0.5546239210850802
Shkoder,Puke,Qelez,409,314,145,46,1686,868,914,0.5421115065243179
Shkoder,Puke,Qerret,398,370,147,60,2079,915,975,0.468975468975469
Shkoder,Puke,Rrape,313,183,97,38,1183,593,631,0.5333896872358411
Shkoder,Shkoder,Ana Malit,470,770,722,88,4820,1962,2050,0.42531120331950206
Shkoder,Shkoder,Berdice,855,1362,924,149,7642,3141,3290,0.4305155718398325
Shkoder,Shkoder,Dajc (ShK),523,958,349,93,7261,1830,1923,0.264839553780471
Shkoder,Shkoder,Gur I Zi,589,1650,1705,250,9119,3944,4194,0.45991885075117883
Shkoder,Shkoder,Postribe,915,1748,804,173,8772,3467,3640,0.41495668034655725
Shkoder,Shkoder,Pult,140,280,285,42,2098,705,747,0.35605338417540516
Shkoder,Shkoder,Rrethinat,1717,3292,2982,520,21022,7991,8511,0.4048615735895728
Shkoder,Shkoder,Shale,269,279,217,36,2916,765,801,0.27469135802469136
Shkoder,Shkoder,Shosh,91,120,93,12,839,304,316,0.3766388557806913
Shkoder,Shkoder,Velipoje,1157,1014,784,166,7639,2955,3121,0.40856133001701794
Shkoder,Shkoder,Shkoder,9122,18420,11510,1705,94855,39052,40757,0.42967687523061515
Shkoder,Vau Dejes,Bushat,1456,2904,2665,396,19328,7025,7421,0.3839507450331126
Shkoder,Vau Dejes,Hajmel,631,995,640,113,5267,2266,2379,0.4516802734004177
Shkoder,Vau Dejes,Shllak,17,284,296,25,1381,597,622,0.4503982621288921
